664090086: 为什么《黑神话：悟空》中四妹的人气如此之高？
665690853: 青岛通报一女司机逆向行驶辱骂殴打他人被「行拘十日罚款一千」，法律对打人的责任都是怎么规定的？
665715173: 市监总局督导阿里巴巴集团完成三年整改，全面停止「二选一」垄断行为，对阿里和市场的发展有何影响？
665733399: 如何评价英雄半年财报亏损，库洛及鸣潮疑似处于亏损状态？
664862603: 《黑神话：悟空》为什么不自己建个下载服务器出售？
658077078: 为什么黄河没有那么黄了，从长远看，变清澈可能会带来哪些影响？
665594726: 特朗普再度威胁送扎克伯格进监狱，警告称「他的余生都将在监狱中度过」，如何看待特朗普的言论？
665639706: 29日离岸、在岸人民币对美元双双升破7.09，发生了什么？你认为人民币对美元汇率年内能破7吗？
403995759: 《西游记》中，为什么天庭没有追查孙悟空第一个师傅——菩提祖师？
665557790: 现在电视剧的权谋都很幼稚么?
665648199: 自行车骑行是否存在「点刹」的刹车技术，它的目的和优势是什么？
664476418: 如何评价《边水往事》中的猜叔？
365600125: 历史上有哪些「吊打一个时代」的运动员?
664891666: 开学季，有的孩子没进校园却进了病房，儿童精神科门诊号「掐点秒没」，为什么这代孩子会面对这样的难题？
665704269: 民众党主席柯文哲被带走调查，具体情况如何？他被带走的原因可能是什么？
665595768: 红线一退再退，为何俄罗斯不再提核武器？
665717690: 2024 LPL 夏季总决赛 BLG 3:0 击败 WBG 蝉联联赛总冠军，如何评价这场比赛？
665734704: TES锁定LPL二号种子晋级S14，你对该战队在2024全球总决赛上的比赛有何期待？
662264375: intel可能召回13代14代的酷睿吗？
41665276: 为什么大阪没能发展成日本第二极？
664982135: 心理咨询师说他只能通过自身来影响来访者，真的有心理咨询师是这样吗？
665610584: 你认为《原神》人物“队长”的真实身份是什么？
665146680: 回避型依恋躲着你的时候才是爱你的表现吗？这类人有哪些性格特点呢？
664279066: 武侠小说中哪些人物的脑回路，现在看来不太能理解？
665733362: 如何评价《崩坏：星穹铁道》2.5 版本前瞻特别节目「碧羽飞黄射天狼」？
664084392: 是只有西海岸可以看「海上日落」吗？国内有哪些海边可以看到日落？
489890918: 你的研究生导师是一个什么样的人？
604736810: 怎样评价孙颖莎?
665620378: 《黑神话：悟空》里「铜头铁臂」这个技能的收益是否有些过低了？
312913332: 如果你随机穿越到金庸小说里的以下某个反派身上，该如何改变命运？
