664090086: 为什么《黑神话：悟空》中四妹的人气如此之高？
665623081: 男子上班 104 天仅休 1 天病亡，公司被判担责两成，这一判决合理吗？如何从法律角度解读？
665594726: 特朗普再度威胁送扎克伯格进监狱，警告称「他的余生都将在监狱中度过」，如何看待特朗普的言论？
665408814: 山西大同一面馆因阴阳价被立案调查，目前调查情况如何？对相关行业起到哪些警示作用？
403995759: 《西游记》中，为什么天庭没有追查孙悟空第一个师傅——菩提祖师？
665467334: 如何看待索尼首款PVP游戏《星鸣特攻（Concord）》上市后遭遇销量滑铁卢？
665717690: 2024 LPL 夏季总决赛 BLG 3:0 击败 WBG 蝉联联赛总冠军，如何评价这场比赛？
665704269: 民众党主席柯文哲被带走调查，具体情况如何？他被带走的原因可能是什么？
665558576: 提离职的时候要不要和公司说「自己找到了下份工作」，以便走得更快？
665407720: 青岛某生物公司暗藏北方最大地下代孕实验室，当地称「已成立联合调查组」，暴露了哪些黑色产业链？有何警示？
665610584: 你认为《原神》人物“队长”的真实身份是什么？
665198200: 如何评价电视剧《边水往事》中的郭立民？
665435960: 哈里斯与特朗普就辩论机制展开争论，哈里斯希望开麦，特朗普团队的顾虑是什么？目前双方局势如何？
665536397: 如何看待《黑神话：悟空》目前剧情完整，销量达到约 1700 万，且 Steam 好评如潮？
665639706: 29日离岸、在岸人民币对美元双双升破7.09，发生了什么？你认为人民币对美元汇率年内能破7吗？
665595768: 红线一退再退，为何俄罗斯不再提核武器？
665690853: 青岛通报一女司机逆向行驶辱骂殴打他人被「行拘十日罚款一千」，法律对打人的责任都是怎么规定的？
658077078: 为什么黄河没有那么黄了，从长远看，变清澈可能会带来哪些影响？
664279066: 武侠小说中哪些人物的脑回路，现在看来不太能理解？
665146680: 回避型依恋躲着你的时候才是爱你的表现吗？这类人有哪些性格特点呢？
663922982: 我是职场新人，我该找一份自己热爱的工作还是工资高福利好的工作？
664982135: 心理咨询师说他只能通过自身来影响来访者，真的有心理咨询师是这样吗？
664699933: 对比原著，电视剧《边水往事》的改编如何？
604736810: 怎样评价孙颖莎?
664294974: 如何评价《海贼王》中的贝加庞克？
665595556: 以《黑神话：悟空》为例的众多西游记衍生作品都几乎没有沙僧出现，为什么他的存在感这么低呢？
665696046: 如何评价视频《绝区零》简角色PV丨逮捕？
660995664: 跑步、骑行、羽毛球，为什么有「体育三大毒」的说法？
665544862: 参加马拉松赛跑一段走一段，很丢人吗？
22919246: 最值钱的小发明是什么？专利卖了多少？
