664090086: 为什么《黑神话：悟空》中四妹的人气如此之高？
665715173: 市监总局督导阿里巴巴集团完成三年整改，全面停止「二选一」垄断行为，对阿里和市场的发展有何影响？
665623081: 男子上班 104 天仅休 1 天病亡，公司被判担责两成，这一判决合理吗？如何从法律角度解读？
665594726: 特朗普再度威胁送扎克伯格进监狱，警告称「他的余生都将在监狱中度过」，如何看待特朗普的言论？
403995759: 《西游记》中，为什么天庭没有追查孙悟空第一个师傅——菩提祖师？
665733362: 如何评价《崩坏：星穹铁道》2.5 版本前瞻特别节目「碧羽飞黄射天狼」？
658077078: 为什么黄河没有那么黄了，从长远看，变清澈可能会带来哪些影响？
665704269: 民众党主席柯文哲被带走调查，具体情况如何？他被带走的原因可能是什么？
665698275: 如何评价综艺《喜人奇妙夜》第十期？
664084392: 是只有西海岸可以看「海上日落」吗？国内有哪些海边可以看到日落？
665717043: 如何看待「2024乒乓球亚锦赛中国队名单」，对此有何期待？
665639706: 29日离岸、在岸人民币对美元双双升破7.09，发生了什么？你认为人民币对美元汇率年内能破7吗？
664891666: 开学季，有的孩子没进校园却进了病房，儿童精神科门诊号「掐点秒没」，为什么这代孩子会面对这样的难题？
665536397: 如何看待《黑神话：悟空》目前剧情完整，销量达到约 1700 万，且 Steam 好评如潮？
662264375: intel可能召回13代14代的酷睿吗？
665595768: 红线一退再退，为何俄罗斯不再提核武器？
665694975: 如何评价孙颖莎将登上《时尚芭莎》十月刊封面？对此你有什么期待？
665690853: 青岛通报一女司机逆向行驶辱骂殴打他人被「行拘十日罚款一千」，法律对打人的责任都是怎么规定的？
665648199: 自行车骑行是否存在「点刹」的刹车技术，它的目的和优势是什么？
662538042: 如果你被人说写的代码一股java味，很伤心，破防了，该怎么办？
22919246: 最值钱的小发明是什么？专利卖了多少？
665203634: 在电视剧《四方馆》中，你最喜欢的角色是谁，为什么?
658090236: 高中是什么样的啊？很青春吗？
660995664: 跑步、骑行、羽毛球，为什么有「体育三大毒」的说法？
665146680: 回避型依恋躲着你的时候才是爱你的表现吗？这类人有哪些性格特点呢？
665544862: 参加马拉松赛跑一段走一段，很丢人吗？
662639455: 职场新人是否应该避免过度「拼命」？你如何看待工作与休息之间的平衡？
665408814: 山西大同一面馆因阴阳价被立案调查，目前调查情况如何？对相关行业起到哪些警示作用？
533524169: 陈清泉学外语为啥高小琴第一反应好像不愿意？
665558576: 提离职的时候要不要和公司说「自己找到了下份工作」，以便走得更快？
